Starting at 2021-01-02--15-53-35
 
 
 
Iteration 1   2021-01-02--15-53-35
 
 dataflow_id |                            dataflow_name                             |          operator          | operator_id | total_records_per_operator | total_batches_per_operator | cpu_time_milliseconds 
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | Arrange: ReduceAccumulable |        1038 |                        108 |                         10 |                  3288
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: ReduceAccumulable |        1799 |                          1 |                          3 |                  3085
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange                    |        2182 |                     211017 |                         11 |                  3018
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | Arrange: ReduceAccumulable |        1658 |                     988373 |                         13 |                  2853
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: ReduceAccumulable |        1761 |                          2 |                          3 |                  2684
        1049 | Dataflow: materialize.public.mv_buy_top_categories_day_primary_idx   | Arrange: ReduceAccumulable |        1348 |                        946 |                         10 |                  2467
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange: ReduceAccumulable |        2023 |                     269645 |                         15 |                  2449
        1957 | Dataflow: materialize.public.test_primary_idx                        | Arrange                    |        1965 |                          0 |                          2 |                  2355
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | Arrange                    |        1044 |                          0 |                          2 |                  2351
         712 | Dataflow: materialize.public.idx_v_user_behavior_buy_sub_category_id | Arrange-errors             |         734 |                          0 |                          2 |                  2340
        2191 | Dataflow: materialize.public.mv_items_restock_primary_idx            | Arrange                    |        2214 |                         24 |                          6 |                  2054
        1957 | Dataflow: materialize.public.test_primary_idx                        | Arrange-errors             |        1969 |                          0 |                          2 |                  1896
        1049 | Dataflow: materialize.public.mv_buy_top_categories_day_primary_idx   | Arrange                    |        1354 |                          0 |                          2 |                  1855
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | Arrange                    |        1682 |                        168 |                          9 |                  1853
        2223 | Dataflow: materialize.public.tab_120c_v_primary_idx                  | Arrange                    |        2262 |                        105 |                          4 |                  1825
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | JoinStage: 0               |        1882 |                          1 |                          3 |                  1811
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange-errors             |        2186 |                          0 |                          2 |                  1809
        2223 | Dataflow: materialize.public.tab_120c_v_primary_idx                  | Arrange-errors             |        2266 |                          0 |                          2 |                  1760
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange                    |        1845 |                          1 |                          3 |                  1735
        2191 | Dataflow: materialize.public.mv_items_restock_primary_idx            | Arrange-errors             |        2218 |                          0 |                          2 |                  1592
        2271 | Dataflow: materialize.public.tab_112c_v_primary_idx                  | Arrange                    |        2310 |                        199 |                          4 |                  1496
        2319 | Dataflow: materialize.public.repl_test_v_primary_idx                 | Arrange                    |        2358 |                          4 |                          4 |                  1418
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange                    |        1909 |                          3 |                          4 |                  1351
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange-errors             |        1913 |                          2 |                          3 |                  1298
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | Arrange-errors             |        1686 |                          0 |                          2 |                  1284
        2271 | Dataflow: materialize.public.tab_112c_v_primary_idx                  | Arrange-errors             |        2314 |                          0 |                          2 |                  1266
        2319 | Dataflow: materialize.public.repl_test_v_primary_idx                 | Arrange-errors             |        2362 |                          0 |                          2 |                  1183

 
Iteration 5   2021-01-02--15-54-25
 
 dataflow_id |                            dataflow_name                             |          operator          | operator_id | total_records_per_operator | total_batches_per_operator | cpu_time_milliseconds 
-------------+----------------------------------------------------------------------+----------------------------+-------------+----------------------------+----------------------------+-----------------------
